generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
32000,Chlorurus_atrilunula,Scarus_altipinnis,8.28942,0.847806,-0.140201,0.0382397,0
33000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.191878,0.475415,0.661523,0
33000,Scarus_xanthopleura,NA,13.2342,0.398202,-0.162571,0.318748,0
33000,Chlorurus_atrilunula,Scarus_altipinnis,8.6006,1.66078,-0.281668,0.106861,0
34000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.87396,-0.28014,0.335374,0
34000,Chlorurus_atrilunula,Scarus_altipinnis,8.8234,1.55557,-0.273054,0.08136,0
35000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0793592,0.0466495,0.191148,0
35000,Scarus_chameleon,Scarus_festivus,13.4374,1.28834,0.157168,0.42941,0
35000,Chlorurus_atrilunula,Scarus_altipinnis,8.67513,1.63602,-0.211088,0.0467896,0
36000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0591383,0.00877831,0.128833,0
36000,Chlorurus_atrilunula,Scarus_altipinnis,8.22559,1.3741,-0.209925,0.0353177,0
36000,Hipposcarus_harid,Hipposcarus_longiceps,8.52988,0.0737212,0.321999,0.0423219,0
37000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.608959,-0.13436,0.363169,0
37000,Chlorurus_atrilunula,Scarus_altipinnis,8.9729,2.15661,-0.269183,0.328981,0
38000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.365212,-0.248235,0.030874,0
38000,Chlorurus_atrilunula,Scarus_altipinnis,8.98968,1.18364,-0.230463,0.000856081,0
39000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0917841,0.379129,0.268373,0
39000,Chlorurus_atrilunula,Scarus_altipinnis,8.44929,1.00369,-0.116988,0.0459353,0
40000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.108804,-0.126142,0.259994,0
40000,Scarus_globiceps_WA,NA,15.5901,1.01517,-0.145057,0.755838,0
40000,Chlorurus_atrilunula,Scarus_altipinnis,8.37896,1.0297,-0.174805,0.00839095,0
41000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.11744,-0.310786,0.052149,0
41000,Chlorurus_atrilunula,Scarus_altipinnis,7.84853,1.14934,-0.194292,0.00544387,0
42000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.533531,-0.172315,0.0709012,0
42000,Scarus_arabicus,NA,13.6559,0.04168,0.125032,0.125812,0
42000,Chlorurus_atrilunula,Scarus_altipinnis,8.88793,0.757205,-0.0951043,0.161239,0
43000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.884932,-0.304385,0.490187,0
43000,Chlorurus_atrilunula,Scarus_altipinnis,8.66549,0.84598,-0.135613,0.0470502,0
43000,Hipposcarus_harid,Hipposcarus_longiceps,4.93569,0.215115,-0.0827034,0.325389,0
44000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.531892,-0.0585149,0.728235,0
44000,Chlorurus_atrilunula,Scarus_altipinnis,6.9739,1.3242,-0.163124,0.00653553,0
45000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.819001,-0.11252,0.422934,0
45000,Chlorurus_atrilunula,Scarus_altipinnis,8.84772,1.06307,-0.201385,0.022255,0
46000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.341821,-0.0811953,0.128196,0
46000,Chlorurus_atrilunula,Scarus_altipinnis,8.67078,1.36418,-0.229768,0.0529505,0
47000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,1.05959,-0.0800672,0.980304,0
47000,Scarus_coeruleus,NA,15.0396,0.184984,0.265133,0.127648,0
47000,Scarus_collana,NA,14.6357,0.528184,-0.207826,0.316513,0
47000,Chlorurus_atrilunula,Scarus_altipinnis,8.92583,1.48089,-0.262594,0.0220934,0
48000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.431186,-0.171113,0.0152914,0
48000,Chlorurus_atrilunula,Scarus_altipinnis,8.8298,1.95729,-0.327663,0.0220554,0
49000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.176537,-0.116558,0.138069,0
49000,Scarus_altipinnis,Scarus_niger,13.9007,1.14749,-0.147616,0.0044275,0
49000,Chlorurus_atrilunula,Scarus_altipinnis,8.32649,1.70312,-0.17292,0.212659,0
50000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0877475,-0.0926183,0.0873912,0
50000,Chlorurus_atrilunula,Scarus_altipinnis,7.96405,0.606979,-0.0393147,0.134318,0
51000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,2.12112,-0.44929,0.578557,0
51000,Scarus_altipinnis,Scarus_dubius,9.8213,1.0329,-0.18613,0.0274235,0
51000,Chlorurus_atrilunula,Hipposcarus_harid,0.642067,0.29069,0.0768775,0.332614,0
52000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,1.58371,-0.172454,0.74656,0
52000,Chlorurus_enneacanthus,Chlorurus_frontalis,14.4456,0.249175,0.041104,0.216517,0
52000,Chlorurus_atrilunula,Scarus_altipinnis,8.75885,1.26721,-0.21564,0.209956,0
53000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.643174,-0.195255,0.134071,0
53000,Chlorurus_atrilunula,Scarus_altipinnis,8.77196,2.04201,-0.33371,0.196003,0
54000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.074139,-0.047523,0.0554074,0
54000,Chlorurus_atrilunula,Scarus_altipinnis,8.44466,1.50223,-0.256191,0.0141758,0
55000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.96142,-0.208143,0.429612,0
55000,Chlorurus_atrilunula,Scarus_altipinnis,8.91338,0.894534,-0.144099,0.0199991,0
56000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.540488,-0.0868278,0.0956267,0
56000,Chlorurus_atrilunula,Scarus_altipinnis,8.67359,0.803161,-0.171929,0.00402661,0
57000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.251841,0.367222,0.632654,0
57000,Chlorurus_atrilunula,Scarus_altipinnis,8.84726,1.49096,-0.250206,0.111552,0
58000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0461296,0.0685057,0.0774944,0
58000,Chlorurus_atrilunula,Scarus_altipinnis,8.65165,0.95336,-0.178381,0.0708789,0
59000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.1659,0.113441,0.390253,0
59000,Chlorurus_atrilunula,Chlorurus_capistratoides,14.2997,0.519313,0.151729,1.72627,0
59000,Chlorurus_atrilunula,Scarus_altipinnis,8.43652,1.43129,-0.202208,0.0118322,0
60000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0795173,0.223784,0.0710724,0
60000,Chlorurus_cyanescens,NA,15.3103,0.392712,0.102861,1.24846,0
60000,Chlorurus_atrilunula,Chlorurus_bleekeri,10.74,1.08616,0.0249708,1.00454,0
60000,Chlorurus_atrilunula,Scarus_altipinnis,8.75976,1.1738,-0.254685,0.103196,0
61000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.05194,0.298608,0.273527,0
61000,Scarus_scaber,NA,15.6039,2.40295,-0.00925267,1.5706,0
61000,Chlorurus_atrilunula,Scarus_altipinnis,7.82036,1.64702,-0.188787,0.313192,0
62000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.93961,-0.363562,0.231402,0
62000,Chlorurus_atrilunula,Scarus_altipinnis,8.67048,1.23913,-0.228635,0.0887962,0
63000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,1.84056,-0.19731,0.361169,0
63000,Chlorurus_atrilunula,Scarus_altipinnis,8.87708,1.22173,-0.201685,0.154827,0
63000,Cetoscarus_biocolor,NA,14.3741,0.353595,-0.200182,4.21289,0
64000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.715714,-0.37545,0.437027,0
64000,Scarus_dimidiatus,NA,15.1962,0.203499,0.140546,0.772672,0
64000,Scarus_spinus,Scarus_viridifucatus,14.0323,0.367016,-0.197102,0.51305,0
64000,Chlorurus_atrilunula,Scarus_altipinnis,8.54187,1.75258,-0.250171,0.122618,0
65000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.617576,-0.124976,0.294391,0
65000,Chlorurus_bleekeri,Chlorurus_sordidus_IO,13.5337,0.212415,0.00246701,0.00957308,0
65000,Chlorurus_atrilunula,Scarus_altipinnis,8.52574,1.34769,-0.210718,0.080674,0
65000,Chlorurus_atrilunula,Chlorurus_enneacanthus,12.444,1.75933,-0.25674,0.692793,0
66000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.362777,-0.246272,0.0360035,0
66000,Scarus_dubius,Scarus_longipinnis,14.2141,0.300654,0.318634,0.831213,0
66000,Chlorurus_atrilunula,Scarus_altipinnis,8.75747,1.73526,-0.296341,0.0747463,0
67000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.107831,-0.0978053,0.021506,0
67000,Chlorurus_atrilunula,Scarus_altipinnis,8.37857,2.52498,-0.272683,0.265241,0
68000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0487479,0.140574,0.211677,0
68000,Chlorurus_atrilunula,Hipposcarus_harid,2.51059,0.143136,0.406626,0.103066,0
68000,Scarus_globiceps_GBR,Scarus_rivulatus,14.8822,1.62403,-0.27263,0.28817,0
68000,Chlorurus_atrilunula,Scarus_altipinnis,7.93542,1.44366,-0.248614,0.00580238,0
69000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.137238,0.0418585,0.176709,0
69000,Chlorurus_atrilunula,Scarus_altipinnis,8.90436,1.52366,-0.280404,0.0868172,0
70000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.11708,0.00447916,0.354755,0
70000,Chlorurus_atrilunula,Scarus_altipinnis,7.55796,2.00767,-0.271625,0.0367918,0
71000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0299241,-0.0735835,0.0647023,0
71000,Chlorurus_atrilunula,Scarus_altipinnis,7.23354,1.01302,-0.125979,0.0668256,0
72000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0445953,0.0614371,0.0704458,0
72000,Chlorurus_atrilunula,Scarus_altipinnis,8.80635,1.77424,-0.259291,0.168295,0
72000,Scarus_rivulatus,NA,15.7491,0.402749,-0.147488,3.26871,0
73000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.314152,-0.194105,0.153352,0
73000,Chlorurus_atrilunula,Scarus_altipinnis,8.66965,1.62062,-0.271044,0.023955,0
74000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.334693,-0.0193506,0.413773,0
74000,Chlorurus_atrilunula,Scarus_altipinnis,8.89692,2.59168,-0.308563,0.389747,0
75000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.233622,-0.218997,0.000776838,0
75000,Chlorurus_atrilunula,Scarus_altipinnis,7.81487,0.970121,-0.138946,0.091249,0
76000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0303201,-0.247211,0.0737459,0
76000,Chlorurus_atrilunula,Chlorurus_enneacanthus,12.0715,1.80715,-0.324743,0.3462,0
76000,Chlorurus_atrilunula,Scarus_altipinnis,8.31528,1.59235,-0.271846,0.131876,0
77000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.430234,-0.214348,0.039618,0
77000,Chlorurus_atrilunula,Scarus_altipinnis,6.72931,2.66596,-0.241199,0.367383,0
78000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.64153,-0.140705,0.429493,0
78000,Chlorurus_atrilunula,Scarus_altipinnis,8.67591,0.843062,-0.153518,0.00227393,0
79000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0602084,0.28245,0.154254,0
79000,Chlorurus_atrilunula,Scarus_altipinnis,8.10965,1.21848,-0.149992,0.0126382,0
80000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0632858,0.251654,0.0448486,0
80000,Chlorurus_atrilunula,Scarus_altipinnis,7.71402,2.04233,-0.224256,0.206172,0
81000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.072745,0.0454343,0.215999,0
81000,Scarus_zufar,NA,13.4948,0.459161,-0.253242,1.18031,0
81000,Chlorurus_atrilunula,Scarus_altipinnis,8.81621,1.35718,-0.242502,0.0310161,0
82000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.310051,-0.134806,0.118471,0
82000,Chlorurus_atrilunula,Scarus_altipinnis,8.92381,2.14653,-0.291544,0.341194,0
83000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0363667,0.0259379,0.246216,0
83000,Chlorurus_gibbus,Chlorurus_strongylocephalus_G,15.3557,1.53224,-0.0618091,0.0484013,0
83000,Chlorurus_atrilunula,Hipposcarus_harid,0.101537,0.787234,-0.0492422,0.00985273,0
84000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.00789015,-0.0658554,0.0682458,0
84000,Chlorurus_atrilunula,Hipposcarus_harid,1.98606,1.04756,-0.0609873,0.167928,0
85000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.170944,-0.147148,0.3138,0
85000,Chlorurus_atrilunula,Scarus_altipinnis,4.10806,0.814755,-0.0855461,0.0635272,0
86000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.166953,-0.113799,0.134925,0
86000,Chlorurus_atrilunula,Scarus_altipinnis,8.87305,1.64413,-0.249595,0.0944955,0
87000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,1.05475,-0.296567,0.284308,0
87000,Chlorurus_atrilunula,Scarus_altipinnis,8.14743,1.36785,-0.239004,0.046456,0
88000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.833226,-0.252918,0.44312,0
88000,Chlorurus_atrilunula,Scarus_altipinnis,7.77168,1.80941,-0.221565,0.12087,0
88000,Scarus_niger,NA,14.479,0.84802,-0.418414,0.275861,0
89000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.337891,-0.265248,0.0699308,0
